	controlA	controlB	thrombinA	thrombinB	thrombinC
MGAT5B	58	49	58	67	74
SNHG20	176	165	126	123	111
SEC14L1	8569	8548	13561	11935	13101
SCARNA16	3	3	1	2	1
MIR6516	0	0	0	0	0
SEPT9	2691	2574	3151	2874	3098
LOC100507351	0	0	0	0	0
TNRC6C	406	437	450	369	405
TMC8	5	8	2	4	7
C17orf99	0	0	0	0	0
SYNGR2	1304	1220	1668	1514	1629
AFMID	262	281	227	185	209
BIRC5	905	864	949	858	910
TMEM235	1	0	0	0	0
LOC101928674	7	5	4	7	4
PGS1	587	666	525	465	495
DNAH17-AS1	0	2	0	1	4
C1QTNF1	92	76	426	352	404
ENGASE	330	371	334	301	284
HP09025	0	0	1	0	0
ENPP7	1	0	0	0	0
CBX2	501	542	618	599	583
LOC101928738	0	0	0	0	0
CCDC40	51	58	44	45	35
GAA	1890	1938	2647	2467	2456
CARD14	67	56	31	30	26
SLC26A11	626	709	666	636	633
RNF213	9139	9127	9406	7996	8921
ENDOV	189	203	170	157	177
MIR4730	2	4	1	2	2
RPTOR	829	808	1078	1003	1042
CHMP6	391	416	592	553	618
BAIAP2	313	327	328	332	313
MIR3065	0	0	0	0	0
AATK-AS1	0	0	0	0	0
C17orf89	338	326	475	385	378
BAHCC1	259	283	251	240	222
FSCN2	1	5	4	4	2
TSPAN10	1	5	2	0	2
CCDC137	577	518	604	629	586
HGS	2804	2762	3240	3119	3288
MIR6786	0	0	0	0	0
MRPL12	659	692	887	822	782
SLC25A10	146	180	173	182	161
GCGR	0	1	0	0	0
ANAPC11	553	662	881	866	782
NPB	19	20	11	20	8
MAFG-AS1	16	23	24	24	21
ASPSCR1	193	199	227	228	213
LRRC45	229	228	198	205	147
RAC3	224	212	297	296	304
GPS1	1297	1354	1730	1535	1590
SLC16A3	2257	2293	2812	2961	2796
MIR6787	1	1	0	0	0
TEX19	1	0	0	0	1
UTS2R	0	0	0	0	0
HEXDC	145	151	99	146	113
NARF	1467	1497	1527	1301	1493
FOXK2	1534	1520	1826	1592	1741
FN3KRP	475	477	547	467	541
FN3K	148	142	116	106	129
TBCD	1524	1569	1725	1573	1661
METRNL	406	403	616	650	617
FLJ43681	6	10	6	5	2
DOC2B	21	9	18	10	27
LOC100506371	1	0	1	2	0
RPH3AL	104	109	125	93	119
FAM101B	986	1015	1561	1391	1612
VPS53	1450	1467	1655	1450	1528
GEMIN4	474	500	624	539	612
GLOD4	1203	1246	1335	1175	1349
NXN	363	367	334	283	305
ABR	2318	2141	3259	2786	3106
MIR3183	0	1	0	0	0
YWHAE	11668	11050	13245	10633	12687
CRK	2171	2173	2245	1793	2173
MYO1C	8341	8278	10561	9733	10073
INPP5K	853	863	957	927	942
PITPNA	2995	2954	3750	3200	3586
SLC43A2	1682	1666	2063	1875	2034
SCARF1	2144	2221	3155	2926	2931
RILP	95	88	105	119	95
PRPF8	8188	8262	10347	8909	9769
TLCD2	103	76	67	43	49
MIR22HG	1171	1098	730	552	686
MIR22	0	0	0	0	0
SMYD4	276	271	293	212	279
RTN4RL1	1	0	0	0	1
MIR132	0	0	0	0	0
MIR212	0	0	0	0	0
SMG6	2242	2133	2432	2043	2275
TSR1	1312	1266	1281	1148	1231
SNORD91B	0	2	0	0	0
SNORD91A	0	0	0	0	0
MNT	572	555	687	614	634
LOC284009	3	2	0	0	0
METTL16	584	547	599	512	606
CLUH	1454	1405	1731	1791	1715
MIR6776	0	0	0	0	0
MIR1253	0	0	0	0	0
LOC101927911	2	3	1	0	1
OR1D5	0	0	0	0	0
OR1D2	0	0	0	0	0
OR1G1	0	0	0	0	0
OR3A2	0	0	0	0	0
OR3A1	0	0	0	0	0
OR1E1	0	0	0	1	0
OR1E2	0	0	0	0	0
SPATA22	2	1	4	1	1
TRPV3	0	0	2	0	1
TRPV1	90	85	54	44	51
SHPK	1	2	1	2	3
TAX1BP3	7	10	9	2	11
P2RX5-TAX1BP3	251	234	347	341	320
P2RX5	1	0	1	0	2
ITGAE	251	226	243	178	236
C17orf85	1393	1246	1076	930	996
CAMKK1	155	136	105	88	85
P2RX1	2	1	4	2	0
ATP2A3	36	36	40	31	29
ZZEF1	2195	2148	2490	2366	2389
ANKFY1	1679	1732	1946	1657	1885
UBE2G1	1336	1268	1360	1060	1302
LOC103021295	0	0	0	0	0
MYBBP1A	1149	1212	1411	1375	1379
GGT6	0	0	0	0	0
ALOX15	0	0	0	0	0
PELP1	793	831	842	865	834
CXCL16	93	83	153	162	153
VMO1	1	2	0	0	1
CHRNE	123	107	114	91	99
SLC25A11	584	587	758	635	720
PFN1	17138	16444	21493	19256	20671
SPAG7	797	767	918	759	930
CAMTA2	1325	1363	1271	1061	1173
MIR6864	0	2	0	0	0
MIR6865	2	0	0	0	0
INCA1	84	95	63	58	65
SLC52A1	1	1	2	1	2
ZNF232	103	123	91	85	100
ZNF594	64	72	8	12	19
SCIMP	3	5	1	1	3
NUP88	792	772	797	635	742
C1QBP	1907	1873	2222	1811	2129
DHX33	781	761	825	745	841
DERL2	595	515	653	547	645
LOC728392	58	67	46	40	37
NLRP1	1886	1919	1417	1238	1315
AIPL1	0	0	0	0	0
PITPNM3	37	39	23	31	23
KIAA0753	541	472	339	276	300
MED31	211	203	179	160	206
MIR4520A	0	0	0	0	0
SLC13A5	0	0	0	0	0
TEKT1	0	0	0	0	0
LOC100506713	31	32	16	11	11
MIR497HG	499	472	566	528	507
MIR195	0	1	0	0	0
MIR497	0	0	0	0	0
SLC16A11	7	9	10	11	6
CLEC10A	0	1	1	0	0
ASGR2	0	0	0	0	0
ASGR1	64	67	52	62	57
DLG4	569	557	547	489	474
MIR324	27	17	16	11	13
DVL2	637	653	567	557	574
PHF23	1103	1186	1474	1264	1428
GABARAP	3779	4208	5342	4414	5034
CTDNEP1	1823	1769	2178	1776	2041
CLDN7	79	75	72	89	73
YBX2	0	0	3	0	0
GPS2	761	716	753	628	683
NEURL4	642	621	679	597	651
PLSCR3	4	1	1	4	3
TMEM256-PLSCR3	0	3	1	1	2
TMEM256	136	132	149	134	147
ZBTB4	1973	1885	2141	1897	1968
SOX15	20	15	7	8	9
FXR2	928	865	1191	1091	1157
SAT2	406	376	445	405	416
TP53	1874	1876	2477	2137	2302
NAA38	374	422	445	457	446
LOC284023	26	26	24	14	15
KCNAB3	20	14	9	5	5
TRAPPC1	1681	1673	2012	1824	1930
ALOX12B	0	0	0	0	0
ALOXE3	4	0	2	2	5
HES7	1	2	0	3	3
PER1	273	269	452	396	438
MIR6883	0	4	0	0	0
VAMP2	574	505	469	428	499
TMEM107	69	87	64	61	68
C17orf59	194	192	234	265	245
AURKB	470	462	456	430	508
LINC00324	3	1	2	6	3
CTC1	691	746	770	672	746
SLC25A35	388	418	437	367	415
LOC100128288	90	84	38	28	38
KRBA2	116	94	90	69	90
RPL26	11264	10368	11145	9800	10880
RNF222	1	1	0	0	1
MYH10	3363	3213	2607	2251	2572
CCDC42	0	0	0	0	0
SPDYE4	0	0	0	0	0
MFSD6L	0	1	0	0	0
PIK3R6	0	0	0	0	0
PIK3R5	0	1	0	0	0
LOC101928266	0	0	0	0	0
STX8	324	320	306	263	357
DHRS7C	0	0	0	0	0
RCVRN	0	0	0	0	0
GAS7	1	1	1	0	1
MYH13	0	0	0	0	0
MYH8	0	0	0	0	0
MYH4	0	0	0	0	0
MYH1	0	0	0	0	0
MYH2	0	0	0	0	0
MYH3	13	5	4	4	6
SCO1	394	441	445	372	415
TMEM220	56	59	47	38	71
MAGOH2	4	7	1	0	0
LINC00675	0	0	0	0	0
PIRT	0	0	0	0	0
ZNF18	93	100	83	77	83
LOC101928418	0	0	0	0	0
LOC100128006	0	0	0	0	0
ELAC2	1988	2034	2259	2017	2176
HS3ST3A1	0	1	0	0	0
COX10-AS1	59	51	23	19	25
CDRT15	0	0	0	0	0
CDRT8	0	0	0	0	0
PMP22	2887	2786	2725	2123	2535
MIR4731	0	0	0	0	0
TEKT3	0	0	0	0	0
CDRT4	0	0	0	0	0
TVP23C-CDRT4	0	0	0	0	0
TVP23C	94	93	58	52	48
CDRT1	18	17	4	4	9
TRIM16	1881	1914	2016	1766	1889
LOC101928567	0	1	1	0	0
ZSWIM7	243	227	208	179	184
NCOR1	3117	3081	2456	1985	2345
CENPV	152	146	171	128	150
LRRC75A	122	144	146	119	140
ZNF287	83	77	68	49	59
ZNF624	73	85	33	22	23
KRT16P2	0	0	0	0	0
TNFRSF13B	0	0	0	0	0
PLD6	88	105	92	78	85
FLCN	1488	1574	1728	1526	1646
COPS3	916	952	917	718	915
RASD1	237	220	519	497	472
PEMT	172	151	220	200	194
SMCR5	1	0	0	0	1
SREBF1	1667	1687	2157	2092	2101
MIR6777	0	0	0	0	0
MIR33B	0	0	0	1	0
TOM1L2	1048	1172	1374	1166	1295
ATPAF2	187	172	205	197	205
FLII	5927	5772	6872	6507	6692
TOP3A	516	518	713	606	682
SHMT1	213	196	206	165	221
MIR6778	0	1	0	0	0
USP32P2	200	181	21	8	16
FAM106A	14	17	5	0	2
CCDC144B	167	173	21	17	18
TBC1D28	0	0	0	0	0
ZNF286B	34	37	20	19	17
FOXO3B	0	0	0	0	0
FAM83G	432	418	591	546	527
GRAP	1100	1137	1147	1043	1100
EPN2-AS1	5	1	0	2	0
B9D1	82	104	127	107	117
MIR1180	0	0	0	0	0
MFAP4	10	12	15	9	16
SLC47A2	3	0	1	0	2
ALDH3A1	5	7	2	4	5
ULK2	577	599	435	381	443
AKAP10	486	517	375	294	362
LGALS9B	0	0	0	0	0
KRT16P3	0	0	0	0	0
CCDC144NL	0	0	0	0	0
USP22	6294	6471	8191	7092	7955
TMEM11	426	369	480	444	489
C17orf103	483	481	529	438	478
C17orf51	349	384	399	327	322
MIR4522	0	1	0	0	0
NOS2	0	0	0	1	0
LYRM9	37	34	41	31	30
KRT18P55	0	0	0	0	0
IFT20	510	492	542	406	558
POLDIP2	2085	2061	2778	2373	2745
SEBOX	0	0	0	0	0
VTN	5	8	12	14	7
SLC46A1	216	226	220	186	246
UNC119	319	325	311	277	314
PIGS	1909	1917	2664	2109	2382
ALDOC	51	49	63	54	56
SPAG5	893	913	827	692	786
SGK494	154	154	54	56	58
KIAA0100	6551	6617	8537	7341	8330
SDF2	711	779	1015	837	962
PROCA1	17	14	4	4	11
RAB34	117	126	126	97	130
NARR	0	0	0	0	0
TLCD1	25	21	28	20	28
FAM222B	982	999	1213	1041	1129
MIR451A	0	0	0	0	0
MIR144	0	0	0	0	0
MIR4732	0	0	0	0	0
FLOT2	3232	3297	3637	3266	3386
DHRS13	62	56	52	54	51
PHF12	714	643	642	617	649
SEZ6	0	0	1	0	0
MYO18A	592	554	664	603	609
TIAF1	7	2	4	2	1
NUFIP2	2662	2511	1029	807	1062
ABHD15	206	207	202	158	204
GIT1	2079	2252	2842	2641	2646
CORO6	134	163	87	79	80
SSH2	3847	3767	4164	3314	3749
MIR3184	1	0	0	1	1
SLC6A4	17	21	46	43	59
BLMH	913	915	788	697	803
TMIGD1	0	0	0	0	0
CRLF3	492	484	389	321	389
TEFM	122	115	82	52	69
MIR4733	0	0	0	0	0
OMG	1	0	1	0	0
EVI2B	39	49	29	17	22
EVI2A	26	18	15	13	8
COPRS	572	559	753	632	710
UTP6	963	980	842	677	792
ARGFXP2	3	4	1	0	1
C17orf75	189	216	133	118	150
MYO1D	2982	2940	4439	3861	4349
ASIC2	1	1	0	0	1
AA06	0	0	0	0	0
LOC101927239	0	0	0	0	0
CCL1	0	0	1	1	1
C17orf102	0	0	0	0	0
CCT6B	20	12	10	10	7
RFFL	119	106	93	97	83
RAD51D	213	250	252	221	235
RAD51L3-RFFL	0	0	0	0	0
NLE1	212	219	297	287	289
SLC35G3	0	0	1	0	0
SLFN11	1173	1200	1113	861	1049
SLFN12	685	661	416	357	404
SLFN13	58	65	36	31	29
SLFN12L	0	0	1	0	0
SLFN14	1	0	0	0	1
PEX12	124	110	96	84	100
GAS2L2	0	1	0	1	0
MMP28	9	6	8	6	6
HEATR9	4	1	2	2	1
CCL5	95	102	82	65	80
RDM1	0	0	0	1	0
LYZL6	0	0	0	0	0
CCL16	3	0	0	0	0
CCL14	0	0	1	0	0
CCL15-CCL14	0	0	0	0	0
CCL15	0	0	0	0	0
CCL23	2	5	10	2	3
CCL3	0	0	0	0	0
CCL3L3	0	0	0	0	0
CCL3L1	0	0	0	0	0
TBC1D3F	0	0	0	0	0
TBC1D3B	0	0	0	0	0
MYO19	848	798	805	733	753
ACACA	2532	2589	2150	1788	2138
SYNRG	1565	1609	1320	1055	1262
DDX52	1398	1391	746	619	796
MIR378J	0	9	1	0	0
HNF1B	1	2	0	0	0
YWHAEP7	0	0	0	0	0
LOC440434	251	266	107	93	109
GPR179	0	0	0	0	0
SRCIN1	0	0	0	1	0
C17orf96	72	84	136	107	90
MIR4734	0	0	0	0	0
PCGF2	970	978	1049	1032	1007
PIP4K2B	1902	1903	1972	1662	1865
CWC25	482	411	402	364	395
C17orf98	0	3	0	0	0
RPL23	6280	6079	6170	5084	6096
SNORA21	6	3	2	3	1
FBXO47	0	0	0	0	0
PLXDC1	0	1	0	0	0
ARL5C	0	0	0	0	0
CACNB1	134	131	79	67	76
STAC2	0	1	0	0	0
FBXL20	492	461	376	298	373
MED1	1641	1543	1224	997	1192
NEUROD2	0	0	0	0	0
PGAP3	130	129	187	178	165
MIEN1	368	406	522	420	482
IKZF3	3	2	1	0	1
GSDMB	141	111	33	38	47
ORMDL3	574	594	938	836	930
MED24	1664	1711	1868	1686	1798
MIR6884	4	6	3	0	4
SNORD124	6	9	3	5	2
NR1D1	253	221	230	209	200
RARA-AS1	43	28	38	45	48
GJD3	71	87	88	93	97
TOP2A	2935	2929	811	645	841
TNS4	0	0	0	0	0
CCR7	0	0	0	0	0
SMARCE1	2212	2078	1644	1333	1588
KRT222	0	0	0	0	0
KRT24	0	1	0	0	0
KRT25	0	0	0	0	0
KRT26	0	0	0	0	0
KRT27	0	0	0	0	0
KRT28	0	0	0	0	0
KRT10	189	228	285	215	260
KRT12	0	0	0	0	0
KRT20	0	1	0	1	0
KRT23	1	1	1	0	1
KRT39	0	0	0	0	0
KRT40	0	1	0	0	0
KRTAP3-3	0	0	0	0	0
KRTAP3-2	0	0	0	0	0
KRTAP3-1	0	0	0	0	0
KRTAP1-5	0	0	0	0	0
KRTAP1-4	0	0	0	0	0
KRTAP1-3	0	0	0	0	0
KRTAP1-1	0	0	0	0	0
KRTAP2-1	0	0	0	0	0
KRTAP2-2	0	0	0	0	0
KRTAP2-3	0	0	0	0	0
KRTAP2-4	0	0	0	0	0
KRTAP4-8	0	0	0	0	0
KRTAP4-11	0	0	0	0	0
KRTAP4-12	1	0	0	0	0
KRTAP4-6	0	0	0	0	0
KRTAP4-5	0	0	0	0	0
KRTAP4-4	0	0	0	0	0
KRTAP4-3	0	0	0	0	0
KRTAP4-2	0	0	0	0	0
KRTAP4-1	0	0	0	0	0
KRTAP29-1	0	0	0	0	0
KRTAP16-1	0	0	0	0	0
KRTAP17-1	0	0	0	0	0
KRT33A	0	0	0	0	0
KRT33B	0	0	0	0	0
KRT34	0	0	0	0	0
KRT31	0	0	0	0	0
KRT37	0	0	0	0	0
KRT38	0	0	0	0	0
KRT32	0	0	0	0	0
KRT35	0	0	0	0	0
KRT36	0	0	0	0	0
KRT13	0	0	0	0	0
KRT15	20	14	11	16	20
MIR6510	0	0	0	0	0
KRT19	56	66	59	52	49
LINC00974	0	0	0	0	1
KRT9	0	0	0	0	0
KRT14	0	0	0	0	0
KRT16	0	0	0	0	0
KRT17	4	1	2	3	4
KRT42P	0	0	0	0	0
HAP1	0	1	0	1	1
JUP	10154	10026	14037	13340	13407
LEPREL4	1166	1249	1490	1514	1397
NT5C3B	624	636	741	683	755
KLHL11	45	45	37	26	23
ACLY	9365	9340	10496	9342	10126
DNAJC7	1780	1619	1348	1178	1353
ZNF385C	31	33	41	37	47
DHX58	119	125	166	177	169
KAT2A	586	626	354	318	350
RAB5C	4312	4202	5757	5069	5384
KCNH4	8	13	7	3	5
HCRT	0	0	0	0	0
GHDC	312	271	346	328	339
STAT5B	1147	1169	1539	1302	1485
STAT3	4264	4228	6086	5082	5918
PTRF	22468	22261	28057	25221	26588
PSMC3IP	306	274	293	233	266
FAM134C	1111	1174	1448	1277	1405
PLEKHH3	143	133	155	141	127
CCR10	13	15	18	27	16
EZH1	708	699	461	350	403
MIR6780A	0	0	0	0	0
RAMP2-AS1	68	80	63	62	55
COA3	330	330	380	337	371
BECN1	1583	1597	1577	1306	1596
MIR6781	1	0	1	2	1
LINC00671	1	0	0	1	0
AARSD1	0	0	0	1	0
PTGES3L-AARSD1	1	0	0	0	0
PTGES3L	0	0	0	0	0
VAT1	17010	17353	23481	21024	22755
BRCA1	389	386	116	81	111
LOC101929767	31	21	18	16	17
LINC00854	35	39	12	9	13
LINC00910	13	11	10	3	10
ETV4	253	265	455	441	502
MEOX1	4	9	5	6	5
SOST	0	0	0	0	0
DUSP3	3365	3303	4475	3863	4273
MPP3	65	89	48	40	36
MPP2	4	7	9	4	5
PPY	0	0	0	0	0
PYY	5	0	1	0	1
TMEM101	302	309	380	364	367
LSM12	1080	1099	1230	1011	1129
HDAC5	592	660	1219	1050	1061
ASB16-AS1	107	100	74	58	61
ATXN7L3	1701	1726	2423	2082	2272
UBTF	1436	1331	1348	1316	1377
MIR6782	0	0	0	0	0
SLC4A1	0	1	0	0	0
LOC101926996	3	2	1	2	1
SLC25A39	1512	1599	1906	1724	1782
FAM171A2	221	194	224	233	226
ITGA2B	6	13	7	3	2
GPATCH8	1220	1142	1259	1061	1219
LINC01180	0	0	0	0	0
CCDC43	523	435	361	262	306
GJC1	679	706	926	784	901
EFTUD2	3016	2970	3847	3240	3912
GFAP	2	5	2	0	3
KIF18B	411	383	350	291	316
MIR6783	1	1	0	0	0
C1QL1	0	1	1	2	1
DCAKD	371	362	360	314	367
PLCD3	588	653	543	480	516
MIR6784	0	0	0	0	0
SPATA32	0	0	0	0	1
MAP3K14	143	151	200	200	238
ARHGAP27	32	37	30	40	25
PLEKHM1	484	535	609	523	613
MIR4315-2	0	0	0	0	0
LRRC37A4P	295	271	218	149	176
MAPT-AS1	0	0	0	0	0
KANSL1	370	339	347	295	344
ARL17A	73	67	34	41	47
ARL17B	0	0	0	0	0
WNT3	71	65	61	45	45
RPRML	0	0	0	0	0
CDC27	2608	2537	1261	1100	1302
LOC102724508	22	15	10	12	21
MRPL45P2	22	38	26	19	24
OSBPL7	461	491	253	231	261
MRPL10	588	608	615	588	659
SCRN2	245	239	246	222	186
SP6	12	28	71	57	53
LOC100506325	4	9	3	2	1
PRR15L	2	0	2	1	0
COPZ2	185	162	245	183	224
MIR152	0	0	0	0	0
CBX1	1614	1533	1401	1172	1295
SKAP1	1	5	0	0	0
MIR1203	0	0	0	0	0
HOXB1	0	0	0	0	0
HOXB2	53	51	48	40	35
HOXB3	99	115	70	48	62
HOXB4	49	64	50	39	49
MIR10A	1	0	0	0	0
HOXB5	12	22	13	11	20
HOXB6	41	29	28	22	24
HOXB7	46	42	29	27	28
HOXB8	3	1	0	1	0
HOXB9	2	4	8	4	8
MIR196A1	0	0	0	0	0
PRAC1	0	0	0	0	0
MIR3185	0	0	0	0	0
HOXB13	0	0	0	0	0
TTLL6	0	0	0	0	0
SNF8	1014	1013	1333	1097	1251
GIP	0	0	0	0	0
GNGT2	41	44	53	60	63
PHOSPHO1	7	8	7	4	4
MIR6129	0	0	0	0	0
ZNF652	419	388	267	196	221
PHB	2390	2441	3194	2827	2977
LOC101927207	0	0	0	0	0
LOC100288866	0	0	0	0	1
SPOP	996	922	877	686	794
SLC35B1	780	820	1080	902	1038
FAM117A	164	188	168	117	111
TAC4	1	4	2	0	0
DLX3	0	0	0	0	0
LOC284080	5	2	1	1	2
SAMD14	537	531	976	879	884
PPP1R9B	1329	1267	1481	1429	1422
HILS1	0	0	0	0	0
COL1A1	22	17	20	19	17
MRPL27	458	518	653	537	636
LRRC59	5428	5471	7739	6697	7504
CHAD	27	40	13	12	12
CACNA1G-AS1	0	1	0	1	0
ANKRD40	1601	1589	1815	1493	1781
LINC00483	0	0	0	0	0
TOB1	365	327	259	238	281
SPAG9	2623	2755	2064	1731	2103
MBTD1	294	281	112	89	127
LOC101927274	0	0	0	0	0
CA10	0	0	0	0	0
COX11	438	504	404	319	401
MMD	178	151	226	156	246
TMEM100	4	3	0	0	1
C17orf67	102	116	55	69	85
MTVR2	0	0	0	0	1
TRIM25	3605	3769	4672	3961	4440
MIR3614	0	0	0	0	0
COIL	370	348	271	219	259
LOC101927557	0	0	0	0	0
LOC101927539	0	0	0	0	0
CCDC182	0	0	0	0	0
MRPS23	489	515	600	538	637
CUEDC1	600	604	635	573	595
VEZF1	1518	1509	1053	859	1080
SRSF1	2990	2908	2323	1953	2274
LOC101927666	0	0	0	0	0
MKS1	126	116	107	86	112
MPO	0	0	0	1	1
BZRAP1	1	0	0	0	0
MIR142	0	0	0	0	0
MIR4736	0	0	0	0	0
SUPT4H1	729	723	956	783	929
RNF43	1	0	0	0	0
HSF5	0	1	0	1	0
MTMR4	1081	1113	1090	873	1069
SEPT4	19	32	19	25	22
C17orf47	0	0	1	0	0
TEX14	3	3	2	6	1
TRIM37	2090	2083	1250	974	1104
SKA2	616	634	370	330	390
MIR454	1	0	0	0	0
MIR301A	0	0	0	0	0
LOC101927728	0	0	0	0	0
PTRH2	447	443	437	300	453
TUBD1	143	144	70	49	70
RNFT1	244	239	125	116	159
TBC1D3P1-DHX40P1	3	2	0	0	0
MIR4737	1	3	2	5	3
HEATR6	324	309	385	273	348
LOC645638	1	0	0	0	0
LOC653653	8	7	3	2	0
USP32	1740	1774	1190	956	1129
SCARNA20	0	1	0	0	0
APPBP2	1051	1042	551	428	519
NACA2	0	0	0	0	0
BRIP1	207	210	62	48	49
INTS2	382	365	168	116	141
MED13	1776	1879	664	617	700
TBC1D3P2	0	0	2	0	0
MARCH10	0	0	0	0	0
CYB561	848	829	886	692	857
LIMD2	1147	1205	1688	1625	1601
STRADA	702	706	630	580	686
CCDC47	2217	2177	1732	1454	1695
FTSJ3	1673	1605	1729	1384	1544
SMARCD2	884	916	1008	917	946
CSH2	0	0	0	0	0
GH2	0	0	0	0	0
CSH1	0	0	0	0	0
CSHL1	0	0	0	0	0
GH1	0	0	0	0	0
CD79B	11	9	9	14	10
SCN4A	5	5	2	2	1
ICAM2	7266	7255	7333	6647	6917
ERN1	379	389	416	384	395
TEX2	1112	1112	1116	965	1092
PECAM1	29511	28449	28163	23441	27639
POLG2	94	115	51	28	40
DDX5	12685	12580	6126	5179	5975
MIR3064	302	286	61	60	44
MIR5047	806	879	163	140	176
SMURF2	3452	3325	2143	1741	2043
LOC146880	1084	1013	348	353	340
PLEKHM1P	249	258	134	128	110
MIR4315-1	0	0	0	0	0
LRRC37A3	138	143	90	58	91
AMZ2P1	38	51	36	33	30
GNA13	2475	2513	2129	1744	2101
AXIN2	61	58	45	41	39
CEP112	380	318	98	73	93
APOH	0	0	0	0	0
LOC101928001	0	0	0	0	0
HELZ	976	979	496	376	437
PSMD12	1001	1062	895	735	952
C17orf58	141	178	195	137	145
SLC16A6	100	83	59	55	97
WIPI1	1532	1532	1631	1371	1616
MIR635	14	15	13	19	22
FAM20A	2	3	2	0	1
ABCA8	3	1	0	1	2
ABCA9	255	273	32	21	27
ABCA6	781	782	174	149	179
MIR4524A	4	1	0	0	0
ABCA10	37	39	6	4	7
ABCA5	0	0	0	0	0
KCNJ2-AS1	26	28	25	28	29
CASC17	0	0	0	0	0
LOC102723505	0	0	0	0	0
LOC102723517	0	0	0	0	0
SOX9-AS1	0	0	0	0	0
LINC00673	0	1	0	0	0
LINC00511	0	0	0	0	0
SLC39A11	74	77	100	67	76
FAM104A	628	637	678	531	591
CPSF4L	24	23	7	13	14
CDC42EP4	461	434	529	484	499
SDK2	2	0	1	0	1
LINC00469	0	0	0	0	0
MGC16275	14	8	10	11	9
BTBD17	2	0	0	0	0
CD300LB	0	0	0	0	0
CD300C	2	0	0	1	1
CD300LD	0	0	0	0	0
CD300E	0	0	0	0	0
CD300LF	0	1	0	0	0
NAT9	497	559	557	480	460
GRIN2C	3	4	5	0	3
FDXR	423	434	457	461	437
FADS6	1	1	0	0	0
USH1G	0	0	0	0	0
HID1	504	573	520	459	428
ATP5H	1314	1272	1550	1198	1565
NT5C	62	72	71	77	65
HN1	2990	2928	3704	3175	3514
SUMO2	3558	3282	3694	3051	3616
GGA3	1003	1002	1037	921	1016
MIF4GD	125	163	172	157	202
SLC25A19	123	125	150	129	138
GRB2	2483	2471	3193	2621	3073
CASKIN2	478	568	687	646	683
RECQL5	332	326	273	248	250
GALK1	232	253	356	346	301
H3F3B	4019	4297	4366	3830	4296
MIR4738	0	0	1	0	0
UNC13D	811	812	836	733	823
WBP2	2230	2330	2835	2678	2907
TRIM47	1340	1341	2019	1884	1817
TRIM65	821	826	815	692	749
MRPL38	586	592	670	649	575
FBF1	77	76	47	62	77
ACOX1	1452	1596	1546	1279	1583
EVPL	0	0	0	0	0
SRP68	1567	1555	1770	1375	1674
EXOC7	3379	3294	4044	3634	3830
MIR6868	0	0	0	0	0
FOXJ1	0	0	0	0	0
RNF157	2	6	11	7	4
QRICH2	207	211	85	81	76
PRPSAP1	1428	1425	1706	1428	1581
UBE2O	873	945	1045	996	1042
RHBDF2	1060	1057	1417	1369	1464
CYGB	18	17	27	23	26
ST6GALNAC2	5	7	8	7	8
ST6GALNAC1	2	0	1	1	0
MXRA7	4128	4262	5666	4745	5267
JMJD6	504	548	642	502	601
SRSF2	2945	2960	2478	2177	2465
MIR636	0	0	0	0	1
MIR4316	0	0	0	0	0
LOC100132174	0	0	0	0	0
FLJ45079	0	0	0	0	0
TNRC6C-AS1	24	24	30	20	30
TMC6	416	400	485	459	437
TK1	568	618	693	651	673
LOC100996291	1	4	0	0	1
SOCS3	579	532	879	839	860
DNAH17	118	103	77	54	78
LOC101928710	0	1	0	0	0
CYTH1	1680	1633	2155	1826	2193
USP36	1084	1045	1288	1200	1258
TIMP2	11803	11938	15704	13616	15240
LOC100653515	7	8	3	3	5
LGALS3BP	94	94	131	102	130
CANT1	2136	2169	3423	2915	3326
C1QTNF1-AS1	0	0	0	1	0
RBFOX3	2	3	3	1	1
MIR4739	0	0	0	0	0
CBX8	49	34	40	41	53
CBX4	190	209	201	204	214
LOC101928766	0	0	1	0	0
TBC1D16	2080	2136	3496	3124	3350
EIF4A3	1195	1232	1375	1269	1374
SGSH	1533	1598	1860	1782	1745
LOC100294362	331	346	364	326	348
NPTX1	92	88	101	87	97
LOC101928855	2	0	0	0	0
BAIAP2-AS1	500	462	504	463	485
AATK	50	56	68	73	57
MIR657	0	0	0	0	0
MIR338	0	0	0	0	0
MIR1250	1	2	0	0	0
CEP131	239	233	223	237	206
ENTHD2	455	481	355	322	329
SLC38A10	2924	2941	3892	3727	3591
LINC00482	0	2	0	3	1
TMEM105	0	0	0	0	0
LOC100130370	0	3	0	0	0
MIR4740	1	0	0	0	0
MIR3186	1	1	0	0	0
ACTG1	68894	71169	118678	108316	113642
C17orf70	619	634	826	782	738
NPLOC4	3229	3210	3927	3457	3769
PDE6G	4	7	11	3	5
OXLD1	63	78	77	73	65
ARL16	446	472	478	402	459
FAM195B	1149	1154	1661	1590	1567
PPP1R27	0	0	0	2	1
P4HB	32562	31998	42584	38460	40837
ARHGDIA	7816	7555	10242	9729	9658
ALYREF	970	1043	1380	1283	1265
PCYT2	800	795	761	704	732
SIRT7	290	254	272	266	261
MAFG	1976	2038	2899	2578	2926
PYCR1	1086	1138	1462	1319	1394
MYADML2	0	0	0	0	0
NOTUM	2	1	0	0	2
STRA13	219	235	280	281	286
DCXR	346	412	428	378	445
